tweet,prediksi label,manual label
Gojek gak bener bgt deh jadi emosi gue dari tadi mesen gocar udah dapatnya lama driver nya juga jauh banget begitu terus setiap pesan gocar yang buat gue kesal banget,negatif,negatif
"Gofood turun, karena pada lebih sering makan di tempat dibanding order utk skrg. Goride turun karena ongkirnya terlalu mahal dan ada saingan baru, maxim yg jelas tarif lebih murah. ",negatif,negatif
"gocar nunggu menit waktu menit mau nyampe dicancel sama abangnya emosi nggak lo, kalo gue jadi pengen bakar aplikasinya",negatif,negatif
gocar murah tapi aplikasi eror kalo hujan grabcar aplikasi lancar jaya tapi kalau hujan mahal BANGET sampe ga masuk akal,negatif,negatif
Gocar maxim grabcar lg down ato knapa nih Dah setengah jam gak dapat driver jadi terlambat deh ini kesal banget,negatif,negatif
gocar malah makin emosi gue aplikasi nya sering error sekali bisa malah driver nya yang nggak ada,negatif,negatif
Gocar mahal bgt sekarang sedih banget mending sewa supir daripada bayar ongkos mahal setiap hari,negatif,negatif
Gocar gue error akhirnya pesen goride malah kehujanan eh jadi kena marah gue sial ih duit gocarnya sayang,negatif,negatif
gocar down ya kok ga ada yg mau terima orderan sih udah mau satu jam nunggu hujan reda kesal banget,negatif,negatif
goblok knp ga dr dulu naik busway ngapain bayar gocar mahal,negatif,negatif
gimana ini mau pulang tpi gocar down grabcar gk ada yg mau ambil terima nasib yang ngga bisa pulang,netral,netral
gila sih ya.. driver gocar gojek ngurusin idup orang banget. Comel banyak bacot. Badan penuh gambar bertato dan kuping ditindik. Saya kira cuma penampilannya aja. Ternyata kelakuannya pun bikin ngga nyaman penumpang. Sotoy,negatif,negatif
gila sih stress nih kalo udah hujan gini Gofood restonya ready tapi driver nya ga ada kan kesal banget,negatif,negatif
"Gila banget promo harkulnas Gofood makanannya jadi murah2 tapi ongkir dua kali lipat harga makanan, logika nya di pake atau nggak sih? Itu sama aja mahal namanya",negatif,negatif
gak dapat gocar grabcar goride karna hujan dan macet lengkap banget penderitaan,negatif,negatif
gak dapat driver gocar grabcar goride karna hujan dan macet ini selalu jadi kelemahan ojek online yang sering meresahkan penumpang,negatif,negatif
Gak bawa mobil ditinggal temen mau pulang naik gocar dari tadi gak dapat driver kesal banget,negatif,negatif
"Gak akan pake gocar @gojekindonesia lagi di bandara. 1. Nunggu lama banget 2. Karena gw tinggal di tangerang, sama sistem go car diarahin lewat belakang, tapi sopirnya gak mau dengan alasan macet, alhasil tarifnya BEDA JAUH So, ga usah sok inovatif kalau malah bikin susah",negatif,negatif
"Gajadi order gocar. mahal, banget dibanding biasanya. Jadinya pake goride aja dulu. Knapa nih min? Kapan tarifnya normal lg? kantong saya udah nggak kuat dengan ongkos gocar yang mahal ini",negatif,negatif
ga tau kenapa setiap naik gocar selalu dapat yang aneh aneh masa ini bawanya kencang banget sampe dapat peringatan dari pak polisi driver gocar ngerti aturan nggak sih,netral,negatif
GA dapat GOCAR sial sial banget gue udah nunggu sekian jam sampe pegal kaki gue sampe emosi driver nya entah hilang kemana,negatif,negatif
Ga bisa pulang terjebak hujan Gocar ga dapat dapat bentar lagi gue uninstall juga ini aplikasi lama lama bikin emosi mulu bukan jadi solusi,negatif,negatif
Ga ada gocar dongg gimana ini mo swab test sumpah ya gocar jadi sering buat kesal karna driver nya susah banget,negatif,negatif
Entah apps nya down atau emg driver nya yg pd malas kerja mentang grab naik tiga kali lipat gocar ga mau ambil penumpang emosi banget gue,negatif,negatif
"engga tadi ga dapat gocar sm taksi terus tungguin lama banget, gocar sekarang respon nya lambat banget jadi buat susah",negatif,negatif
emang salah ya buat order gojek hujan dlm keadaan hujan atau memang driver nya ga ada yg bisa nyetir dalam keadaan hujan atau gimana sih gue mau pulang selalu ngga bisa pesan karna driver nya ngga ada yang terima kesal banget lama lama dengan aplikasi gojek,negatif,negatif
